source,target,source_id_lab,target_id_lab,weight,weight_recs,weight_tfidf
9,36,UBERON:0001156 Ascending Colon,ASCTB-TEMP:plasma,1,2,0.051679616
9,37,UBERON:0001156 Ascending Colon,ASCTB-TEMP:smooth-muscle,1,2,0.131509973
9,38,UBERON:0001156 Ascending Colon,ASCTB-TEMP:stroma,1,2,0.08358916
9,39,UBERON:0001156 Ascending Colon,ASCTB-TEMP:ta,1,2,0.02493151
10,15,UBERON:0001157 Transverse Colon,ASCTB-TEMP:b,1,2,0.004749188
10,16,UBERON:0001157 Transverse Colon,ASCTB-TEMP:cd4-t-cell,1,2,0.02986212
10,17,UBERON:0001157 Transverse Colon,ASCTB-TEMP:cd57-enterocyte,1,2,0.00016391
10,18,UBERON:0001157 Transverse Colon,ASCTB-TEMP:cd66-enterocyte,1,2,0.037258178
10,19,UBERON:0001157 Transverse Colon,ASCTB-TEMP:cd7-immune,1,2,0.001003814
10,20,UBERON:0001157 Transverse Colon,ASCTB-TEMP:cd8-t,1,2,0.024836174
10,21,UBERON:0001157 Transverse Colon,ASCTB-TEMP:cycling-ta,1,2,0.023883627
10,22,UBERON:0001157 Transverse Colon,ASCTB-TEMP:dc,1,2,0.011173601
10,23,UBERON:0001157 Transverse Colon,ASCTB-TEMP:endothelial,1,2,0.060274378
10,24,UBERON:0001157 Transverse Colon,ASCTB-TEMP:enterocyte,1,2,0.051492561
10,25,UBERON:0001157 Transverse Colon,ASCTB-TEMP:goblet,1,2,0.047287849
10,26,UBERON:0001157 Transverse Colon,ASCTB-TEMP:icc,1,2,0.008389193
10,27,UBERON:0001157 Transverse Colon,ASCTB-TEMP:lymphatic,1,2,0.025644135
10,28,UBERON:0001157 Transverse Colon,ASCTB-TEMP:m1-macrophage,1,2,0.007588655
10,29,UBERON:0001157 Transverse Colon,ASCTB-TEMP:m2-macrophage,1,2,0.051612028
10,30,UBERON:0001157 Transverse Colon,ASCTB-TEMP:muc1-enterocyte,1,2,0.005642824
10,31,UBERON:0001157 Transverse Colon,ASCTB-TEMP:nerve,1,2,0.033420814
10,32,UBERON:0001157 Transverse Colon,ASCTB-TEMP:neuroendocrine,1,2,0.002583425
10,33,UBERON:0001157 Transverse Colon,ASCTB-TEMP:neutrophil,1,2,0.003923458
10,34,UBERON:0001157 Transverse Colon,ASCTB-TEMP:nk,1,2,0.001257608
10,35,UBERON:0001157 Transverse Colon,ASCTB-TEMP:paneth,1,2,0.002032959
10,36,UBERON:0001157 Transverse Colon,ASCTB-TEMP:plasma,1,2,0.038835903
10,37,UBERON:0001157 Transverse Colon,ASCTB-TEMP:smooth-muscle,1,2,0.159570961
10,38,UBERON:0001157 Transverse Colon,ASCTB-TEMP:stroma,1,2,0.100168341
10,39,UBERON:0001157 Transverse Colon,ASCTB-TEMP:ta,1,2,0.023417797
11,15,UBERON:0001158 Descending Colon,ASCTB-TEMP:b,1,2,0.030336974
11,16,UBERON:0001158 Descending Colon,ASCTB-TEMP:cd4-t-cell,1,2,0.044206491
11,17,UBERON:0001158 Descending Colon,ASCTB-TEMP:cd57-enterocyte,1,2,8.78005E-05
11,18,UBERON:0001158 Descending Colon,ASCTB-TEMP:cd66-enterocyte,1,2,0.027542712
11,19,UBERON:0001158 Descending Colon,ASCTB-TEMP:cd7-immune,1,2,0.001287316
11,20,UBERON:0001158 Descending Colon,ASCTB-TEMP:cd8-t,1,2,0.031117242
11,21,UBERON:0001158 Descending Colon,ASCTB-TEMP:cycling-ta,1,2,0.05139685
11,22,UBERON:0001158 Descending Colon,ASCTB-TEMP:dc,1,2,0.014646701
11,23,UBERON:0001158 Descending Colon,ASCTB-TEMP:endothelial,1,2,0.050945201
11,24,UBERON:0001158 Descending Colon,ASCTB-TEMP:enterocyte,1,2,0.063971432
11,25,UBERON:0001158 Descending Colon,ASCTB-TEMP:goblet,1,2,0.075322874
11,26,UBERON:0001158 Descending Colon,ASCTB-TEMP:icc,1,2,0.005402235
11,27,UBERON:0001158 Descending Colon,ASCTB-TEMP:lymphatic,1,2,0.017872934
11,28,UBERON:0001158 Descending Colon,ASCTB-TEMP:m1-macrophage,1,2,0.005713073
11,29,UBERON:0001158 Descending Colon,ASCTB-TEMP:m2-macrophage,1,2,0.032180161
11,30,UBERON:0001158 Descending Colon,ASCTB-TEMP:muc1-enterocyte,1,2,0.005379105
11,31,UBERON:0001158 Descending Colon,ASCTB-TEMP:nerve,1,2,0.025288113
11,32,UBERON:0001158 Descending Colon,ASCTB-TEMP:neuroendocrine,1,2,0.005239626
11,33,UBERON:0001158 Descending Colon,ASCTB-TEMP:neutrophil,1,2,0.002840251
11,34,UBERON:0001158 Descending Colon,ASCTB-TEMP:nk,1,2,0.001221853
11,35,UBERON:0001158 Descending Colon,ASCTB-TEMP:paneth,1,2,0.000819194
11,36,UBERON:0001158 Descending Colon,ASCTB-TEMP:plasma,1,2,0.042411901
11,37,UBERON:0001158 Descending Colon,ASCTB-TEMP:smooth-muscle,1,2,0.111574362
11,38,UBERON:0001158 Descending Colon,ASCTB-TEMP:stroma,1,2,0.060196424
11,39,UBERON:0001158 Descending Colon,ASCTB-TEMP:ta,1,2,0.036516661
12,15,UBERON:0001159 Sigmoid Colon,ASCTB-TEMP:b,1,2,0.007543086
12,16,UBERON:0001159 Sigmoid Colon,ASCTB-TEMP:cd4-t-cell,1,2,0.021679142
12,17,UBERON:0001159 Sigmoid Colon,ASCTB-TEMP:cd57-enterocyte,1,2,0.000159715
12,18,UBERON:0001159 Sigmoid Colon,ASCTB-TEMP:cd66-enterocyte,1,2,0.027207166
12,19,UBERON:0001159 Sigmoid Colon,ASCTB-TEMP:cd7-immune,1,2,0.000919526
12,20,UBERON:0001159 Sigmoid Colon,ASCTB-TEMP:cd8-t,1,2,0.017070994
12,21,UBERON:0001159 Sigmoid Colon,ASCTB-TEMP:cycling-ta,1,2,0.022016215
12,22,UBERON:0001159 Sigmoid Colon,ASCTB-TEMP:dc,1,2,0.013495209
12,23,UBERON:0001159 Sigmoid Colon,ASCTB-TEMP:endothelial,1,2,0.057627979
12,24,UBERON:0001159 Sigmoid Colon,ASCTB-TEMP:enterocyte,1,2,0.039547456
12,25,UBERON:0001159 Sigmoid Colon,ASCTB-TEMP:goblet,1,2,0.037390705
12,26,UBERON:0001159 Sigmoid Colon,ASCTB-TEMP:icc,1,2,0.005138955
12,27,UBERON:0001159 Sigmoid Colon,ASCTB-TEMP:lymphatic,1,2,0.030866537
12,28,UBERON:0001159 Sigmoid Colon,ASCTB-TEMP:m1-macrophage,1,2,0.00282731
12,29,UBERON:0001159 Sigmoid Colon,ASCTB-TEMP:m2-macrophage,1,2,0.061660616
12,30,UBERON:0001159 Sigmoid Colon,ASCTB-TEMP:muc1-enterocyte,1,2,0.010101918
12,31,UBERON:0001159 Sigmoid Colon,ASCTB-TEMP:nerve,1,2,0.03106194
12,32,UBERON:0001159 Sigmoid Colon,ASCTB-TEMP:neuroendocrine,1,2,0.002743927
12,33,UBERON:0001159 Sigmoid Colon,ASCTB-TEMP:neutrophil,1,2,0.016009162
12,34,UBERON:0001159 Sigmoid Colon,ASCTB-TEMP:nk,1,2,0.001434508
12,35,UBERON:0001159 Sigmoid Colon,ASCTB-TEMP:paneth,1,2,0.000744005
12,36,UBERON:0001159 Sigmoid Colon,ASCTB-TEMP:plasma,1,2,0.021994682
12,37,UBERON:0001159 Sigmoid Colon,ASCTB-TEMP:smooth-muscle,1,2,0.207880371
12,38,UBERON:0001159 Sigmoid Colon,ASCTB-TEMP:stroma,1,2,0.109532074
