rui_location,organ,as_label,as_id,intersection_volume
http://purl.org/ccf/1.5/63b2f5a9-5914-4c45-9239-139948a93498,VHMSmallIntestine,descending part of duodenum,http://purl.org/sig/ont/fma/fma14928,10111.84
http://purl.org/ccf/1.5/6f055461-adb2-41fe-86c1-50d3afdf9360,VHMSmallIntestine,distal part of ileum,http://purl.org/sig/ont/fma/fma14966,14601.44
http://purl.org/ccf/1.5/6f89860a-30df-4b79-8e6d-dd209c959374,VHMSmallIntestine,distal part of ileum,http://purl.org/sig/ont/fma/fma14966,14601.44
http://purl.org/ccf/1.5/6fe91946-48bb-485f-9ad0-5f0550d1f2b3,VHMSmallIntestine,distal part of ileum,http://purl.org/sig/ont/fma/fma14966,14601.44
http://purl.org/ccf/1.5/75ff443d-c177-4dab-a866-89e9141b73a4,VHMSmallIntestine,horizontal part of duodenum,http://purl.org/sig/ont/fma/fma14929,10554.94
http://purl.org/ccf/1.5/75ff443d-c177-4dab-a866-89e9141b73a4,VHMSmallIntestine,ascending part of duodenum,http://purl.org/sig/ont/fma/fma14930,7109.89
http://purl.org/ccf/1.5/78ee24bb-4ae4-49e9-bad2-d6f13166b89e,VHMSmallIntestine,horizontal part of duodenum,http://purl.org/sig/ont/fma/fma14929,10554.94
http://purl.org/ccf/1.5/78ee24bb-4ae4-49e9-bad2-d6f13166b89e,VHMSmallIntestine,ascending part of duodenum,http://purl.org/sig/ont/fma/fma14930,7109.89
http://purl.org/ccf/1.5/79a10f00-84e0-4b8e-8622-485973df3773,VHMSmallIntestine,jejunum,http://purl.obolibrary.org/obo/UBERON_0002115,194372.1
http://purl.org/ccf/1.5/8023d0ab-338a-43c4-9f9b-d637220f1b8e,VHMSmallIntestine,jejunum,http://purl.obolibrary.org/obo/UBERON_0002115,194372.1
http://purl.org/ccf/1.5/85765dd5-2197-4361-b4c6-c9d30186044a,VHMSmallIntestine,descending part of duodenum,http://purl.org/sig/ont/fma/fma14928,10111.84
http://purl.org/ccf/1.5/a1fc9d45-5af9-4fc4-b2be-340ef0716e09,VHMSmallIntestine,horizontal part of duodenum,http://purl.org/sig/ont/fma/fma14929,10554.94
http://purl.org/ccf/1.5/a1fc9d45-5af9-4fc4-b2be-340ef0716e09,VHMSmallIntestine,ascending part of duodenum,http://purl.org/sig/ont/fma/fma14930,7109.89
http://purl.org/ccf/1.5/b09f5826-e6fa-4bec-8054-2fb6e6f202ae,VHMSmallIntestine,distal part of ileum,http://purl.org/sig/ont/fma/fma14966,14601.44
http://purl.org/ccf/1.5/bddd9066-3f8c-4330-8e33-23be89ee8a0b,VHMSmallIntestine,jejunum,http://purl.obolibrary.org/obo/UBERON_0002115,194372.1
http://purl.org/ccf/1.5/d9aed544-4c6e-42c2-a137-9a9381d8f8c8,VHMSmallIntestine,horizontal part of duodenum,http://purl.org/sig/ont/fma/fma14929,10554.94
http://purl.org/ccf/1.5/d9aed544-4c6e-42c2-a137-9a9381d8f8c8,VHMSmallIntestine,ascending part of duodenum,http://purl.org/sig/ont/fma/fma14930,7109.89
http://purl.org/ccf/1.5/e4a44b76-53fd-4c88-9ccf-ba095fcb9673,VHMSmallIntestine,distal part of ileum,http://purl.org/sig/ont/fma/fma14966,14601.44
http://purl.org/ccf/1.5/ea1d468d-e988-42cd-8e34-71701e568878,VHMSmallIntestine,jejunum,http://purl.obolibrary.org/obo/UBERON_0002115,194372.1
http://purl.org/ccf/1.5/fd76b9bb-85b0-4dd0-8e60-7c6ec7c95d73,VHMSmallIntestine,jejunum,http://purl.obolibrary.org/obo/UBERON_0002115,194372.1
